date,site,depth_m,Wat_temp_Celcius,DO_sat%,DO_mgL,pH,DOC_mgL,POC_mgL,TP_mgL,DP_mgL,SRP_mgL,TN_mgL,NH4_N_mgL,NO3_N_mgL,PN_mgL,Si_mgL,Chla_lab_mgL,Chla_CTDprobe_mgL
2011/3/9,YRZ,0.5,0.04275,94.55,13.773,7.7,1.86,0.4,0.013,0.01,0.008,,0.014,0.797,0.09,3.89,,0.07
2011/3/30,YRZ,0.5,1.8222,93.555,12.9705,7.3,2.23,0.3,0.011,0.007,0.004,0.8,0.019,0.62,0.38,3.13,,0.37
2011/4/19,YRZ,0.5,5.48385,99.045,12.4655,7.4,2.09,0.6,0.02,0.006,0.003,0.78,0.029,0.48,0.1,2.77,,
2011/5/3,YRZ,0.5,5.0184,83.48,10.631,7.4,2.46,0.5,0.019,0.01,0.004,0.687,0.028,0.276,0.1,2.81,,0.575
2011/5/18,YRZ,0.5,9.20435,91.505,10.502,7.7,2.33,0.7,0.032,0.016,0.005,0.77,0.024,0.412,0.7,2.8,,0.4
2011/5/30,YRZ,0.5,12.77805,81.315,8.5895,7,2.2,0.5,0.024,0.007,0.006,0.55,0.01,0.178,0.09,2.51,,0.45
2011/6/21,YRZ,0.5,12.82275,87.255,9.208,8,3.02,0.5,0.024,0.015,0.006,0.423,0.012,0.055,0.17,2.11,,0.73
2011/7/12,YRZ,0.5,14.37295,90.005,9.177,7.8,3.12,0.5,0.021,0.015,0.005,1.48,0.018,0.599,0.1,1.52,,0.495
2011/7/26,YRZ,0.5,11.05315,96.94,10.6515,7.9,2.78,0.4,0.016,0.009,0.003,0.372,0.023,0.073,0.2,1.35,,0.495
2011/8/16,YRZ,0.5,13.53115,131.44,13.6515,7.7,4.21,0.5,0.038,0.015,0.005,1.91,0.01,0.169,0.2,2.71,,0.61
2011/8/30,YRZ,0.5,11.4856,90.26,9.8185,7.7,5.41,0.6,0.028,0.018,0.005,1.12,0.03,0.463,0.6,3.41,,0.22
2011/9/21,YRZ,0.5,8.3032,100.175,11.7485,8,3.87,0.3,0.021,0.012,0.006,0.525,0.032,0.423,0.6,3.05,,0.6
2011/10/5,YRZ,0.5,12.2695,82.89,8.8555,7.9,3.2,0.3,0.016,0.01,0.006,0.374,0.017,0.129,0.1,1.53,,1.34
2011/10/18,YRZ,0.5,5.62135,79.52,9.972,7.6,4.6,0.4,0.019,0.013,0.003,0.874,0.01,0.417,0.1,4.47,,0.705
2011/11/1,YRZ,0.5,5.885,96.93,12.072,7.9,2.68,0.6,0.012,0.009,0.003,0.421,0.01,0.243,0.34,2.66,,0.48
2011/11/15,YRZ,0.5,0.01385,91.87,13.389,7.5,2.3,0.2,0.01,0.007,0.007,0.497,0.01,0.311,0.16,3.42,,0.325
2011/11/29,YRZ,0.5,0.41405,91.435,13.178,7.9,2.38,0.3,0.012,0.007,0.004,0.667,0.011,0.308,0.37,3.23,,0.485
2011/12/19,YRZ,0.5,1.868,88.32,12.2295,7.4,3.25,0.4,0.014,0.013,0.004,1.36,0.007,0.959,0.1,3.47,,0
2012/2/21,YRZ,0.5,,,,7.7,2.57,0.3,0.013,0.007,0.003,,0.018,0.77,0.07,3.49,,
2012/3/6,YRZ,0.5,1.6707,73.04,10.167,7.5,2.72,0.3,0.007,0.007,0.003,,0.01,0.691,0.09,3.3,,0.3
2012/3/19,YRZ,0.5,4.23655,108.185,14.061,7.6,3.02,0.1,0.013,0.006,0.003,0.898,0.01,0.368,0.04,3.15,,
2012/4/3,YRZ,0.5,3.2234,94.335,12.5935,8.3,2.62,0.3,0.012,0.007,0.003,,0.022,0.279,0.2,2.51,,0.03
2012/4/17,YRZ,0.5,2.36625,93.915,12.8265,7.6,2.76,0.3,0.017,0.006,0.003,,0.01,0.325,0.5,1.76,,0.18
2012/4/24,YRZ,0.5,,,,,4.3,0.7,0.019,,0.005,,0.01,0.042,,,,
2012/5/2,YRZ,0.5,12.31495,95.275,10.169,7.7,3.27,0.6,0.012,0.007,0.003,,0.047,0.126,0.28,0.488,,0.855
2012/5/8,YRZ,0.5,,,,,4.88,1,0.038,,0.009,,0.011,0.23,,,,
2012/5/14,YRZ,0.5,7.1404,95.03,11.4705,7.8,4.08,0.6,0.029,0.008,0.003,0.586,0.01,0.146,0.1,2.5,,
2012/5/22,YRZ,0.5,,,,,3.38,0.7,0.032,,0.011,,0.017,0.129,,,,
2012/6/4,YRZ,0.5,9.37415,83.13,9.503,7.5,4.32,1.1,0.041,0.012,0.008,,0.016,0.221,0.14,2.76,,0.605
2012/6/12,YRZ,0.5,,,,,3.66,0.5,0.026,,0.011,,0.01,0.089,,,,
2012/6/19,YRZ,0.5,,,,7.8,3.74,0.5,0.083,0.009,0.005,1.42,0.011,0.042,0.14,2.74,,
2012/6/20,YRZ,0.5,,,,,5.28,,,,,,,,,,,
2012/6/26,YRZ,0.5,12.1647,91.515,9.804,7.4,5.09,0.5,0.028,0.019,0.008,,0.018,0.261,0.19,3,,0.525
2012/7/3,YRZ,0.5,,,,,5.29,0.4,0.029,,0.014,,0.02,0.176,,,,
2012/7/10,YRZ,0.5,14.2372,88.96,9.097,7.7,4.08,0.4,0.029,0.009,0.006,0.569,0.02,0.22,0.14,2.88,,0.4
2012/7/24,YRZ,0.5,12.15585,91.36,9.789,7.5,5.96,0.4,0.041,0.022,0.004,,0.026,0.26,0.11,3.19,,0.7
2012/7/31,YRZ,0.5,,,,7.8,6.07,0.4,0.026,0.014,0.006,0.583,0.016,0.178,0.43,3,,
2012/8/7,YRZ,0.5,,,,7.7,5.57,1.3,0.029,0.023,0.003,,0.019,0.09,0.2,2.81,,
2012/8/14,YRZ,0.5,,,,,3.66,1,0.063,,0.021,,0.034,0.146,,,,
2012/8/21,YRZ,0.5,16.5778,86.29,8.3905,7.7,3.87,0.4,0.021,0.006,0.006,,0.03,0.312,0.14,1.52,,0.58
2012/8/22,YRZ,0.5,,,,,5.57,,,,,,,,,,,
2012/8/28,YRZ,0.5,,,,,4.15,0.5,0.019,,0.003,,0.01,0.042,,,,
2012/9/5,YRZ,0.5,11.6483,84.795,9.19,7.7,3.24,0.4,0.017,0.009,0.006,0.454,0.02,0.042,0.08,1.71,,0.535
2012/9/11,YRZ,0.5,,,,,2.98,0.4,0.015,,0.014,,0.014,0.042,,,,
2012/9/18,YRZ,0.5,9.7811,88.565,10.0265,7.7,3.04,0.4,0.2,0.006,0.003,,0.01,0.042,0.31,2.65,,0.45
2012/9/25,YRZ,0.5,,,,,2.8,0.4,0.018,,0.013,,0.01,0.042,,,,
2012/10/1,YRZ,0.5,5.49635,85.67,10.7745,7.7,3.31,0.3,0.016,0.005,0.005,,0.03,0.042,0.38,3,,0.5
2012/10/9,YRZ,0.5,,,,,4.18,0.5,0.016,,0.005,,0.011,0.361,,,,
2012/10/16,YRZ,0.5,6.39,86.64,10.654,7.3,4.85,0.7,0.021,0.013,0.005,,0.014,0.41,0.25,3.24,,0.895
2012/10/22,YRZ,0.5,,,,,3.72,0.4,0.018,,0.003,,0.01,0.291,,,,
2012/10/29,YRZ,0.5,0.13645,87.5,12.7125,7.4,3.08,0.7,0.02,0.013,0.007,,0.01,0.245,0.06,3.18,,0.38
2012/11/6,YRZ,0.5,,,,,4.44,0.7,0.21,,0.003,,0.01,0.492,,,,
2012/11/12,YRZ,0.5,5.28285,78.56,9.9395,7.5,5.64,0.7,0.026,0.009,0.009,1.08,0.012,0.773,0.2,3.53,,0.725
2012/11/20,YRZ,0.5,,,,,3.15,0.4,0.017,,0.003,,0.01,0.618,,,,
2012/11/27,YRZ,0.5,4.5097,86.97,11.222,7.6,3.2,0.5,0.02,0.012,0.005,,0.021,0.466,0.28,3.47,,0.735
2012/12/4,YRZ,0.5,,,,,2.67,0.5,0.017,,0.004,,0.01,0.717,,,,
2012/12/10,YRZ,0.5,0.0426,86.035,12.5305,7.4,2.67,0.6,0.014,0.009,0.004,,0.015,0.649,0.1,3.53,,0.65
2012/12/17,YRZ,0.5,,,,,5.05,1.2,0.038,,0.008,,0.015,1.37,,,,
2013/1/9,YRZ,0.5,4.84845,85.895,10.988,7.2,3.34,0.4,0.016,0.008,0.003,1.18,0.013,0.609,0.22,3.68,,0.405
2013/1/15,YRZ,0.5,,,,,2.65,0.3,0.011,,0.003,,0.014,1.09,,,,
2013/1/23,YRZ,0.5,0.00725,80.78,11.7775,7.3,2.34,0.3,0.011,0.007,0.003,,0.016,0.777,0.09,3.85,,0.3
2013/1/31,YRZ,0.5,,,,,4.77,0.9,0.033,,0.004,,0.01,1.15,,,,
2013/2/6,YRZ,0.5,0.5534,71.82,10.312,7.1,2.97,0.4,0.012,0.006,0.004,,0.024,0.926,0.07,3.37,,0.3
2013/2/12,YRZ,0.5,,,,,2.4,0.6,0.014,,0.003,,0.017,1.02,,,,
2013/2/19,YRZ,0.5,0.69615,76.81,10.9855,7.3,2.7,0.3,0.009,0.006,0.003,,0.01,0.764,0.13,3.64,,0.3
2013/2/26,YRZ,0.5,,,,,3.32,0.4,0.01,,0.003,,0.025,0.756,,,,
2013/3/5,YRZ,0.5,0.0114,80.82,11.782,7.5,2.58,0.3,0.009,0.009,0.003,1.1,0.022,0.776,0.07,3.67,,0.315
2013/3/13,YRZ,0.5,,,,,2.65,0.3,0.006,,0.004,,0.007,0.94,,,,
2013/3/19,YRZ,0.5,0.09515,74.535,10.843,7.8,2.38,0.4,0.01,0.007,0.003,,0.01,0.762,0.1,3.16,,0.535
2013/3/26,YRZ,0.5,,,,,2.6,0.6,0.009,,0.004,,0.013,0.711,,,,
2013/4/3,YRZ,0.5,0.0263,80.61,11.748,7.7,2.81,0.5,0.009,0.006,0.003,,0.01,0.626,0.08,3.13,,0.595
2013/4/15,YRZ,0.5,4.22705,98.6,12.8175,,,,,,,,,,,,,
2013/4/29,YRZ,0.5,6.7657,94.67,11.535,,,,,,,,,,,,,0.985
2013/5/14,YRZ,0.5,8.7316,103.425,12.004,7.9,5.37,1,0.027,0.011,0.004,0.855,0.06,0.642,0.15,1.97,,1.595
2013/5/28,YRZ,0.5,7.44355,89.42,10.7135,7.3,4.38,1,0.023,0.007,0.003,,0.013,0.727,0.45,3.06,,
2013/6/11,YRZ,0.5,10.98565,89.56,9.857,7.6,4.85,0.9,0.024,0.009,0.005,,0.036,0.49,0.16,2.73,,
2013/6/25,YRZ,0.5,12.8914,85.135,8.9715,,,,,,,,,,,,,0.635
2013/7/9,YRZ,0.5,13.91495,87.16,8.9765,7.8,3.63,0.5,0.028,0.022,0.006,0.976,0.057,0.425,0.1,3.24,,0.505
2013/7/23,YRZ,0.5,14.9292,81.81,8.2405,,,,,,,,,,,,,0.475
2013/8/6,YRZ,0.5,16.5252,85.92,8.364,7.8,3.81,1,0.043,0.017,0.003,,0.01,0.202,0.38,1.33,,0.6
2013/8/20,YRZ,0.5,13.262,93.595,9.781,7.9,3.83,0.6,0.026,0.018,0.015,,0.028,0.195,0.32,2.16,,0.695
2013/9/3,YRZ,0.5,12.57745,86.15,9.14,8,2.91,0.4,0.014,0.007,0.003,0.554,0.034,0.176,0.11,1.69,,0.58
2013/9/17,YRZ,0.5,8.6048,95.635,11.1345,,,,,,,,,,,,,0.515
2013/9/30,YRZ,0.5,5.7992,80.69,10.0715,7.6,3.19,0.3,0.012,0.006,0.003,,0.042,0.167,0.2,2.57,,0.445
2013/10/15,YRZ,0.5,7.3152,90.74,10.9065,,,,,,,,,,,,,0.805
2013/10/28,YRZ,0.5,10.01485,89.72,10.101,7.3,5.87,0.9,0.031,0.008,0.004,1.26,0.066,0.464,0.28,3.68,,0.905
2013/11/12,YRZ,0.5,4.6698,93.06,11.96,,,,,,,,,,,,,0.42
2013/11/26,YRZ,0.5,1.5263,92.8,12.97,7.2,3.13,0.6,0.012,0.009,0.009,,0.064,0.996,0.3,3.87,,0.305
2013/12/10,YRZ,0.5,3.9877,81.19,10.6215,7.1,3.73,0.8,0.02,0.009,0.005,,0.053,0.969,0.26,3.46,,0.725
2014/1/7,YRZ,0.5,4.2305,81.885,10.6455,7.4,3.81,2.7,0.064,0.009,0.007,,0.011,0.642,0.36,3.72,,0.78
2014/1/21,YRZ,0.5,1.4075,77.45,10.8605,7.2,2.16,0.6,0.017,0.009,0.007,1.58,0.03,0.042,0.2,4,,0.635
2014/2/4,YRZ,0.5,1.1677,83.835,11.835,7.6,2.38,0.5,0.009,0.006,0.004,,0.023,0.717,0.58,3.89,,0.455
2014/2/5,YRZ,0.5,,,,,2.17,,,,,,,,,,,
2014/2/18,YRZ,0.5,1.70965,73.295,10.1925,7.4,2.11,0.6,0.014,0.006,0.004,,0.014,1.03,0.64,3.56,,0.415
2014/3/4,YRZ,0.5,2.38245,75.01,10.246,7.5,2.36,0.7,0.013,0.006,0.004,1.2,0.022,0.742,0.69,3.19,,0.415
2014/3/18,YRZ,0.5,5.54785,103.29,12.977,7.8,2.41,0.6,0.017,0.009,0.003,,0.018,0.524,0.31,3.36,,0.61
2014/4/1,YRZ,0.5,5.6665,92.68,11.6095,7.7,2.2,0.6,0.018,0.006,0.003,,0.015,0.423,0.5,2.45,,0.565
2014/4/15,YRZ,0.5,5.32315,89.45,11.302,7.6,4.18,1.7,0.05,0.006,0.003,,0.01,0.301,0.63,2.77,,2.795
2014/4/23,YRZ,0.5,7.88965,98.805,11.705,,,,,,,,,,,,,0.99
2014/4/28,YRZ,0.5,9.2514,80.305,9.21,7,7.76,1,0.07,0.032,0.014,,0.01,0.933,0.36,2.56,,1.48
2014/5/13,YRZ,0.5,8.57385,88.555,10.3195,7.3,4.72,1,0.03,0.009,0.003,0.867,0.014,0.426,0.53,3.19,,0.805
2014/5/26,YRZ,0.5,11.2474,92.135,10.0805,7.4,5.31,0.9,0.03,0.006,0.003,,0.018,0.275,0.88,2.46,,0.535
2014/6/11,YRZ,0.5,17.0739,98.32,9.4635,,,,,,,,,,,,,0.595
2014/6/24,YRZ,0.5,10.949,85.07,9.3715,7.6,3.21,0.6,0.025,,,,0.052,0.355,0.64,3.23,,0.5
2014/7/8,YRZ,0.5,15.3588,80.655,8.051,7.4,5.54,1.8,0.07,0.015,0.007,0.95,0.032,0.392,0.9,2.89,,0.925
2014/7/23,YRZ,0.5,16.52825,80.435,7.829,,,,,,,,,,,,,0.5
2014/8/5,YRZ,0.5,14.9621,90.585,9.12,7.4,7.98,0.8,0.04,0.015,0.005,,0.032,0.452,1.04,3.75,,0.885
2014/8/19,YRZ,0.5,11.9161,91.46,9.8515,7.8,6.26,0.6,0.062,0.006,0.003,,0.01,0.306,0.36,2.85,,0.965
2014/9/2,YRZ,0.5,12.4797,103.02,10.9565,,,,,,,,,,,,,1.075
2014/9/16,YRZ,0.5,12.52655,81.535,8.663,7.7,4.99,0.4,0.02,0.009,0.004,0.924,0.01,0.366,0.59,3.27,,0.735
2014/9/29,YRZ,0.5,9.0276,83.81,9.6585,7.6,4.23,0.5,0.017,0.006,0.004,,0.027,0.786,0.49,3.51,,0.51
2014/10/13,YRZ,0.5,10.43625,83.035,9.255,7.5,5.38,0.8,0.024,0.006,0.003,,0.028,0.498,0.2,3.82,,0.705
2014/10/28,YRZ,0.5,6.93175,93.64,11.3605,,,,,,,,,,,,,
2014/11/11,YRZ,0.5,5.4351,83.05,10.4635,7.7,3.58,0.5,0.023,0.019,0.01,1.26,0.01,0.699,0.11,3.88,,0.4
2014/11/24,YRZ,0.5,5.16445,83.74,10.626,7.5,4.2,0.8,0.025,0.009,0.008,,0.024,0.466,0.23,3.9,,0.4
2014/12/15,YRZ,0.5,1.76965,84.285,11.7,7.4,3.28,1.1,0.03,0.006,0.005,,0.033,1.01,0.47,3.87,,0.605
2015/1/7,YRZ,0.5,1.77545,79.425,11.0255,7.3,2.68,0.6,0.011,0.006,0.005,,0.023,3.78,0.26,4.12,,0.3
2015/1/14,YRZ,0.5,4.14335,85.015,11.079,7.1,2.77,0.3,0.015,0.009,0.005,1.57,0.015,1.02,0.2,3.48,,0.305
2015/1/20,YRZ,0.5,1.89585,76.77,10.623,7.2,2.18,0.4,0.011,0.006,0.003,,0.027,1.09,0.24,3.87,,0.255
2015/2/3,YRZ,0.5,0.603,72.32,10.372,7.3,2.04,0.5,0.009,0.006,0.005,,0.029,0.793,0.27,3.81,,0.21
2015/2/17,YRZ,0.5,0.00455,64.885,9.4605,7.4,2.06,0.3,0.009,0.006,0.005,,0.033,0.903,0.14,4.04,,0.3
2015/3/3,YRZ,0.5,0.553,76.68,11.009,7.5,2.27,0.4,0.013,0.007,0.005,1.29,0.045,0.892,0.18,3.56,,0.315
2015/3/17,YRZ,0.5,,,,7.6,2.58,0.6,0.013,0.006,0.003,,0.014,0.899,0.14,3.54,,
2015/3/31,YRZ,0.5,,,,7,3.15,1.5,0.035,0.007,0.004,,0.01,1.27,0.27,3.06,,
2015/4/14,YRZ,0.5,4.26985,98.19,12.752,7.3,2.15,0.5,0.011,0.006,0.003,,0.027,1.24,0.1,2.76,,0.455
2015/4/27,YRZ,0.5,9.41555,93.715,10.704,7.3,3.69,0.6,0.021,0.006,0.003,,0.025,0.573,0.11,1.03,,4.69
2015/5/11,YRZ,0.5,9.1143,101.07,11.627,7.5,3.65,0.8,0.019,0.006,0.003,0.937,0.057,0.411,0.09,0.77,,0.965
2015/5/26,YRZ,0.5,9.67525,80.01,9.081,7.7,3.09,0.6,0.032,0.013,0.008,,0.021,0.548,0.1,2.45,,0.585
2015/6/9,YRZ,0.5,11.30675,95.355,10.417,7.7,3.04,0.7,0.036,0.012,0.006,,0.104,0.412,0.2,3.06,,0.505
2015/6/23,YRZ,0.5,10.85655,85.295,9.416,7.6,4.04,1.9,0.06,0.017,0.007,,0.165,0.459,0.28,3.22,,0.7
2015/7/7,YRZ,0.5,15.40975,85.32,8.505,7.9,5.14,0.8,0.041,0.023,0.005,1.15,0.096,0.469,0.19,3.01,,0.745
2015/7/21,YRZ,0.5,17.53415,89.665,8.5455,7.6,5.01,0.8,0.039,0.021,0.005,,0.02,0.17,0.3,2.74,,0.805
2015/8/3,YRZ,0.5,12.5473,88.53,9.401,7.8,3.86,0.5,0.02,0.009,0.003,,0.037,0.05,0.2,0.96,,0.53
2015/8/18,YRZ,0.5,15.1093,82.04,8.231,7.6,6.19,4,0.092,0.016,0.005,,0.023,0.483,0.8,2.51,,1.545
2015/9/1,YRZ,0.5,15.42415,78.93,7.865,7.6,4.04,0.4,0.028,0.02,0.008,0.732,0.019,0.292,0.08,3.11,,0.645
2015/9/16,YRZ,0.5,10.10095,83.565,9.3885,7.4,4.96,0.6,0.031,0.012,0.004,,0.034,0.3,0.12,3.32,,0.91
2015/9/28,YRZ,0.5,,,,7.5,3.8,0.4,0.021,0.011,0.003,,0.022,0.245,0.26,3.4,,
2015/10/14,YRZ,0.5,2.82735,86.96,11.73,7.6,3.24,0.4,0.024,0.006,0.003,,0.026,0.219,0.11,3.55,,0.49
2015/10/26,YRZ,0.5,5.81215,88.415,11.032,7.4,3.67,0.3,0.016,0.008,0.006,,0.022,0.506,0.11,3.81,,0.405
2015/11/10,YRZ,0.5,8.9426,95.655,11.0455,7.4,3.53,0.7,0.017,0.011,0.003,0.677,0.042,0.237,0.26,3.76,,0.665
2015/11/23,YRZ,0.5,3.4826,76.325,10.122,7.3,4.05,0.5,0.018,0.014,0.004,,0.016,0.998,0.26,3.84,,0.4
2015/12/8,YRZ,0.5,4.6849,77.96,10.0145,7.1,3.42,0.4,0.017,0.012,0.004,1.29,0.018,0.953,0.47,3.83,,0.4
2016/1/12,YRZ,0.5,2.0503,103.81,14.301,7.3,3.95,1.7,0.04,0.016,0.005,1.3,0.013,0.813,0.41,3.47,,0.555
2016/1/26,YRZ,0.5,2.58225,86,11.679,7.2,3.09,0.6,0.012,0.006,0.003,1.58,0.016,1.11,0.22,3.33,,0.48
2016/2/9,YRZ,0.5,3.6719,97.64,12.8815,7.2,2.54,0.4,0.133,0.009,0.003,1.47,0.028,1.06,0.11,3.46,,0.3
2016/2/23,YRZ,0.5,3.3818,99.95,13.288,7.1,3.59,0.5,0.022,0.015,0.006,1.76,0.016,1.29,0.18,3.33,,0.4
2016/3/8,YRZ,0.5,0.7018,96.255,13.763,7.4,1.99,0.3,0.011,0.006,0.003,1.31,0.028,0.955,0.21,3.34,,0.3
2016/3/21,YRZ,0.5,3.52155,95.005,12.582,7.6,2.08,0.3,0.011,0.006,0.003,1.02,0.046,0.694,0.15,3.18,,0.3
2016/4/5,YRZ,0.5,,,,7.5,2.99,0.7,0.021,0.014,0.003,1.33,0.045,0.823,0.08,2.82,,
2016/4/19,YRZ,0.5,6.3292,86.09,10.605,7.5,2.99,0.6,0.021,0.008,0.004,0.932,0.01,0.506,0.1,2.9,,0.625
2016/5/2,YRZ,0.5,6.9953,107.29,12.9975,7.9,3.1,0.7,0.024,0.009,0.003,0.912,0.022,0.485,0.21,2.78,,0.23
2016/5/17,YRZ,0.5,8.2298,95.38,11.209,7.9,3.08,0.6,0.018,0.013,0.003,0.993,0.01,0.288,0.08,2.43,,0.51
