date,site,depth_m,Wat_temp_Celcius,DO_sat%,DO_mgL,pH,DOC_mgL,POC_mgL,TP_mgL,DP_mgL,SRP_mgL,TN_mgL,NH4_N_mgL,NO3_N_mgL,PN_mgL,Si_mgL,Chla_lab_mgL,Chla_CTDprobe_mgL
2021/10/19,YRZ,0.5,7.01689148,99.91952211,12.08150122,7.6,3.84,0.36,0.018,0.011,0.005,0.911,0.018,0.503,0.28,4.32,,2.21792603
2021/11/2,YRZ,0.5,6.89308625,96.45966453,11.69924004,7.3,4.29,0.44,0.016,0.01,0.005,0.874,0.026,0.433,0.4,4.27,,2.18430786
2021/11/16,YRZ,0.5,4.46595917,100.342234,12.94779858,7.3,3.53,0.56,0.022,0.012,0.008,1.24,0.04,0.794,0.24,4.78,,2.182870485
2021/11/30,YRZ,0.5,0.868487555,98.59325905,14.01603418,7.5,3.31,0.56,0.019,0.013,0.006,1.11,0.057,0.72,0.28,4.41,,1.91734925
2021/12/14,YRZ,0.5,2.904035955,101.6454861,13.66977217,7.5,3.76,0.96,0.016,0.011,0.007,1.95,0.067,1.36,0.32,4.45,,2.1378601
2011/3/9,YHZ,0.5,3.65245,88.38,11.6665,,,,,,,,,,,,,0.01
2011/3/30,YHZ,0.5,6.2405,98.87,12.204,7.3,3.02,0.5,0.026,0.011,0.009,2.66,0.039,2.03,0.24,3.35,,0.245
2011/4/19,YHZ,0.5,10.28215,91.5,10.236,7.2,3.26,0.9,0.038,0.033,0.005,1.9,0.05,1.19,0.2,3.04,,0.93
2011/5/3,YHZ,0.5,7.643,80.345,9.5735,7.4,3.48,1.1,0.043,0.018,0.008,1.68,0.048,0.989,0.2,2.74,,0.91
2011/5/18,YHZ,0.5,14.18245,86.05,8.8075,7.5,3.95,0.8,0.046,0.021,0.008,1.4,0.053,0.794,0.1,2.36,,1.625
2011/5/30,YHZ,0.5,16.25835,58.2,5.6945,7.5,3.29,0.5,0.044,0.034,0.014,1.07,0.037,0.466,0.12,3.1,,1.3
2011/6/21,YHZ,0.5,14.7178,78.935,7.985,7.8,5.44,0.5,0.049,0.028,0.015,0.774,0.025,0.203,0.1,2.65,,0.995
2011/7/12,YHZ,0.5,16.599,85.935,8.349,7.7,4.33,0.6,0.057,0.034,0.021,1.69,0.035,0.755,0.2,2.74,,1.455
2011/7/26,YHZ,0.5,,,,7.8,4.16,0.7,0.049,0.024,0.018,0.676,0.031,0.134,0.2,3,,
2011/8/16,YHZ,0.5,15.28095,134.91,13.4815,8,6.34,3.6,0.174,0.033,0.017,2.5,0.01,0.27,1.4,4.46,,2.47
2011/8/30,YHZ,0.5,12.5409,87.965,9.3365,7.7,5.27,0.5,0.063,0.038,0.021,1.74,0.063,1.01,0.6,4.5,,1.03
2011/9/21,YHZ,0.5,10.90505,105.885,11.6705,8,5.36,0.4,0.041,0.025,0.017,1.79,0.038,1.5,0.1,5.36,,0.76
2011/10/5,YHZ,0.5,12.78945,78.825,8.3195,7.7,4.02,0.5,0.038,0.029,0.024,1.53,0.041,0.75,0.1,4.21,,0.655
2011/10/18,YHZ,0.5,6.5119,88.635,10.864,7.6,5.22,0.5,0.051,0.034,0.025,1.34,0.064,0.623,0.2,5.28,,0.83
2011/11/1,YHZ,0.5,6.64105,74.035,9.0415,7.6,3.84,0.4,0.067,0.028,0.019,1.59,0.228,0.753,0.86,3.99,,0.5
2011/11/15,YHZ,0.5,0.3422,75.08,10.8365,7.5,4.22,0.7,0.049,0.022,0.02,1.54,0.223,0.837,0.14,,,0.395
2011/11/29,YHZ,0.5,1.076,80.935,11.448,7.8,4.46,1.4,0.056,0.028,0.025,1.34,0.162,0.706,0.31,4.24,,0
2011/12/19,YHZ,0.5,1.78125,85.455,11.858,7.4,5.26,0.7,0.035,0.025,0.014,5.25,0.023,4.18,0.8,3.99,,0
2012/2/21,YHZ,0.5,,,,7.4,3.67,0.6,0.029,0.018,0.003,,0.034,2.87,0.13,3.62,,
2012/3/6,YHZ,0.5,2.8702,67.27,9.068,7.5,3.77,0.4,0.02,0.011,0.003,,0.018,3.16,0.1,3.03,,0.5
2012/3/19,YHZ,0.5,7.17845,94.65,11.413,7.4,4.08,0.6,0.028,0.011,0.007,2.8,0.169,2.16,0.31,3.15,,0.46
2012/4/3,YHZ,0.5,5.92745,88.555,11.017,7.5,4,0.3,0.033,0.012,0.008,,0.068,1.48,0.3,3,,0.51
2012/4/17,YHZ,0.5,5.05885,89.005,11.3215,7.6,4.53,0.7,0.039,0.01,0.007,,0.073,0.998,0.59,2.85,,0.395
2012/4/24,YHZ,0.5,,,,,4.35,0.8,0.039,,0.013,,0.029,0.609,,,,
2012/5/2,YHZ,0.5,15.7329,91.92,9.0995,7.6,3.27,0.5,0.058,0.031,0.023,,0.11,0.659,0.2,1.67,,1.645
2012/5/8,YHZ,0.5,,,,,4.97,1,0.053,,0.014,,0.033,0.494,,,,
2012/5/14,YHZ,0.5,10.34415,85.11,9.5085,7.5,4.71,0.8,0.058,0.016,0.015,1.29,0.088,0.605,0.1,3.19,,0.8
2012/5/22,YHZ,0.5,,,,,4.65,0.8,0.081,,0.045,,0.184,0.597,,,,
2012/6/4,YHZ,0.5,10.15815,78.5,8.802,7.5,5.46,1.2,0.069,0.021,0.018,,0.064,0.388,0.23,3.28,,1.705
2012/6/12,YHZ,0.5,,,,,4.97,1,0.067,,0.032,,0.037,0.367,,,,
2012/6/18,YHZ,0.5,,,,7.6,4.86,0.9,0.083,0.045,0.034,1.31,0.121,0.497,0.19,3.93,,
2012/6/20,YHZ,0.5,,,,,6.22,,,,,,,,,,,
2012/6/26,YHZ,0.5,13.02685,92.345,9.699,7.3,5.76,1.4,0.064,0.033,0.016,,0.032,0.51,0.29,4.04,,4.325
2012/7/3,YHZ,0.5,,,,,6.14,0.8,0.059,,0.026,,0.044,0.454,,,,
2012/7/10,YHZ,0.5,16.26595,84.535,8.2735,7.5,5.23,0.7,0.063,0.025,0.018,1.01,0.046,0.378,0.21,4.18,,1.155
2012/7/24,YHZ,0.5,14.35655,86.17,8.7875,7.5,7.52,1,0.073,0.037,0.012,,0.036,0.378,0.6,4.13,,2.09
2012/7/30,YHZ,0.5,,,,7.7,7.06,0.1,0.057,0.022,0.017,1.09,0.041,0.306,0.1,4.4,,
2012/8/7,YHZ,0.5,,,,7.6,8.53,1.6,0.093,0.055,0.03,,0.033,0.042,0.32,5.33,,
2012/8/14,YHZ,0.5,,,,,7.11,0.4,0.016,,0.004,,0.012,0.042,,,,
2012/8/21,YHZ,0.5,18.049,76.84,7.246,7.6,7.03,0.6,0.062,0.03,0.028,,0.045,0.424,0.47,3.8,,0.66
2012/8/22,YHZ,0.5,,,,,9.34,,,,,,,,,,,
2012/8/28,YHZ,0.5,,,,,6.1,0.6,0.051,,0.024,,0.027,0.404,,,,
2012/9/5,YHZ,0.5,12.7598,78.92,8.337,7.6,5.93,0.5,0.059,0.027,0.025,1.89,0.479,0.589,0.15,4.31,,0.705
2012/9/11,YHZ,0.5,,,,,6.07,1.4,0.09,,0.045,,0.033,0.4,,,,
2012/9/18,YHZ,0.5,11.72255,85.305,9.2255,7.7,5.55,0.8,0.075,0.032,0.024,,0.028,0.351,0.23,4.52,,0.5
2012/9/25,YHZ,0.5,,,,,5.43,0.6,0.056,,0.026,,0.012,0.42,,,,
2012/10/1,YHZ,0.5,7.04735,85.99,10.3955,7.7,5.77,0.4,0.068,0.08,0.003,,0.032,0.385,0.29,4.34,,0.595
2012/10/9,YHZ,0.5,,,,,6.3,0.6,0.046,,0.01,,0.039,0.602,,,,
2012/10/16,YHZ,0.5,7.35645,90.135,10.8185,7.4,7.55,1,0.043,0.031,0.015,,0.022,0.438,0.34,4.12,,3.11
2012/10/22,YHZ,0.5,,,,,7.15,0.6,0.042,,0.01,,0.01,0.414,,,,
2012/10/29,YHZ,0.5,1.41225,87.785,12.303,7.4,5.55,1.1,0.038,0.03,0.014,,0.013,0.43,0.1,4.18,,0.6
2012/11/6,YHZ,0.5,,,,,7.01,2.1,0.05,,0.004,,0.01,0.443,,,,
2012/11/12,YHZ,0.5,5.26125,89.345,11.305,7.4,7.07,1.3,0.042,0.028,0.015,1.54,0.013,0.714,0.39,4,,10.12
2012/11/20,YHZ,0.5,,,,,6.54,1,0.029,,0.006,,0.04,1.19,,,,
2012/11/27,YHZ,0.5,5.13015,90.91,11.5415,7.6,5.72,0.7,0.026,0.01,0.008,,0.046,1.21,0.17,4.14,,1.02
2012/12/4,YHZ,0.5,,,,,5.74,0.9,0.027,,0.005,,0.047,1.23,,,,
2012/12/10,YHZ,0.5,0.02365,85.39,12.4385,7.4,5.39,1,0.025,0.017,0.008,,0.069,1.63,0.28,4.41,,4.52
2012/12/17,YHZ,0.5,,,,,6.87,1.9,0.068,,0.027,,0.039,3.14,,,,
2013/1/9,YHZ,0.5,4.98495,82.99,10.5765,7.2,4.86,0.5,0.024,0.017,0.005,4.85,0.02,3.54,0.54,4.07,,0.5
2013/1/15,YHZ,0.5,,,,,4.48,0.4,0.02,,0.004,,0.028,4.44,,,,
2013/1/23,YHZ,0.5,0.0747,81.51,11.86,7.2,3.89,0.5,0.019,0.013,0.003,,0.032,4.08,0.51,4.35,,0.4
2013/1/31,YHZ,0.5,,,,,5.71,0.8,0.044,,0.01,,0.024,3.55,,,,
2013/2/6,YHZ,0.5,0.66995,72.37,10.358,7,3.21,0.6,0.02,0.02,0.015,,0.334,2.69,0.08,3.93,,0.4
2013/2/12,YHZ,0.5,,,,,3.69,0.5,0.016,,0.003,,0.02,5,,,,
2013/2/19,YHZ,0.5,0.78865,80.745,11.5155,7.3,3.63,0.4,0.015,0.009,0.003,,0.016,4.07,0.12,3.91,,0.395
2013/2/26,YHZ,0.5,,,,,4.65,0.6,0.02,,0.004,,0.059,3.34,,,,
2013/3/5,YHZ,0.5,0.01365,80.345,11.7095,7.4,3.74,0.4,0.018,0.011,0.006,3.79,0.03,3.1,0.25,3.91,,0.4
2013/3/13,YHZ,0.5,,,,,5.52,0.7,0.019,,0.006,,0.03,3.77,,,,
2013/3/19,YHZ,0.5,0.448,73.855,10.6315,7.7,3.52,0.4,0.017,0.008,0.003,,0.016,3.79,0.15,3.6,,0.485
2013/3/26,YHZ,0.5,,,,,3.66,0.5,0.015,,0.004,,0.023,3.65,,,,
2013/4/3,YHZ,0.5,0.12,79.65,11.5735,7.6,4.11,0.5,0.016,0.011,0.004,,0.014,3.16,0.24,3.65,,0.5
2013/4/15,YHZ,0.5,8.72535,103.92,12.065,,,,,,,,,,,,,0.185
2013/4/29,YHZ,0.5,9.916,97.09,10.957,,,,,,,,,,,,,0.775
2013/5/14,YHZ,0.5,11.05195,101.55,11.1585,7.6,6.46,1.1,0.051,0.008,0.005,2.31,0.536,2.19,0.18,2.43,,1.79
2013/5/28,YHZ,0.5,9.5253,93.61,10.664,7.3,6.62,1.6,0.048,0.025,0.023,,0.037,3.36,0.2,3.19,,1
2013/6/11,YHZ,0.5,13.2441,83.305,8.709,7.4,5.88,1,0.038,0.013,0.003,,0.044,2.67,0.14,2.89,,1.23
2013/6/25,YHZ,0.5,13.58925,87.01,9.027,,,,,,,,,,,,,1.8
2013/7/9,YHZ,0.5,15.6745,85.25,8.449,7.5,5.84,0.9,0.071,0.036,0.027,2.07,0.082,1.16,0.23,3.71,,0.995
2013/7/23,YHZ,0.5,16.21855,75.42,7.3885,,,,,,,,,,,,,0.755
2013/8/6,YHZ,0.5,16.74665,76.45,7.4065,7.6,6.1,1.1,0.093,0.048,0.026,,0.01,0.497,0.93,4.01,,2.52
2013/8/20,YHZ,0.5,14.35435,92.755,9.459,7.7,5.96,1.5,0.095,0.048,0.031,,0.04,0.486,0.35,2.99,,2.5
2013/9/3,YHZ,0.5,12.8281,80.935,8.536,7.7,4.29,0.7,0.061,0.033,0.026,1.15,0.056,0.449,0.36,3.08,,0.79
2013/9/17,YHZ,0.5,8.99275,92.37,10.651,,,,,,,,,,,,,2.91
2013/9/30,YHZ,0.5,6.16415,74.25,9.177,7.4,5.65,0.5,0.041,0.019,0.003,,0.066,0.487,0.2,3.61,,1.425
2013/10/15,YHZ,0.5,8.34745,86.815,10.171,,,,,,,,,,,,,6.67
2013/10/28,YHZ,0.5,10.6471,83.805,9.2955,7.2,7.78,0.9,0.045,0.016,0.01,2.74,0.089,1.5,0.17,3.69,,2.5
2013/11/12,YHZ,0.5,5.47685,97.51,12.273,,,,,,,,,,,,,
2013/11/26,YHZ,0.5,2.2844,91.305,12.5,7.3,4.72,0.7,0.023,0.019,0.012,,0.102,5.6,0.19,4.05,,0.5
2013/12/10,YHZ,0.5,3.8235,94.235,12.381,7.1,4.32,0.7,0.023,0.014,0.009,,0.086,4.36,0.2,4.02,,0.5
2014/1/7,YHZ,0.5,3.8997,92.795,12.1665,7.4,4.42,1.4,0.044,0.012,0.01,,0.026,3.1,0.72,3.99,,0.89
2014/1/21,YHZ,0.5,1.49065,74.185,10.379,7.2,3.35,0.7,0.022,0.013,0.007,6.94,0.027,0.042,0.36,4.36,,0.605
2014/2/4,YHZ,0.5,1.6673,86.205,11.999,7.5,3.21,0.8,0.045,0.008,0.006,,0.039,4.06,0.31,4.38,,0.3
2014/2/18,YHZ,0.5,2.12705,73.78,10.143,7.4,3.79,0.8,0.023,0.006,0.004,,0.024,4.74,0.37,3.74,,0.665
2014/3/4,YHZ,0.5,3.47765,82.92,10.995,7.3,2.98,0.5,0.022,0.012,0.007,5.27,0.024,4.14,0.36,3.7,,0.5
2014/3/18,YHZ,0.5,6.66685,99.185,12.1125,7.7,3.01,0.7,0.031,0.019,0.008,,0.035,3.22,0.38,3.74,,1.505
2014/3/19,YHZ,0.5,,,,7.7,3.79,1,0.042,0.021,0.006,,0.03,2.8,0.4,3.66,,
2014/4/1,YHZ,0.5,6.72875,87.67,10.69,7.6,3.28,0.7,0.032,0.025,0.01,,0.024,2.24,0.88,3.2,,0.98
2014/4/15,YHZ,0.5,5.97565,88.62,11.012,7.7,4.77,1.2,0.05,0.03,0.012,,0.03,1.61,0.89,3.11,,2.095
2014/4/23,YHZ,0.5,11.0159,96.88,10.651,,,,,,,,,,,,,1.45
2014/4/28,YHZ,0.5,11.77175,89.14,9.6335,7.7,6.54,2.7,0.084,0.014,0.008,,0.043,1.05,0.75,2.94,,5.245
2014/5/13,YHZ,0.5,10.28255,77.78,8.6995,7.5,5.78,1.7,0.019,0.015,0.004,1.61,0.034,0.731,0.67,2.77,,4.405
2014/5/26,YHZ,0.5,13.7663,88.745,9.1705,7.5,6.07,2,0.08,0.013,0.007,,1.01,1.79,0.89,2.25,,4.085
2014/6/11,YHZ,0.5,16.71665,82.47,7.9955,,,,,,,,,,,,,2.52
2014/6/24,YHZ,0.5,12.2004,84.95,9.089,7.5,6.11,1.2,0.059,0.029,0.025,,0.069,1.76,0.82,3.21,,1.98
2014/7/8,YHZ,0.5,15.76905,72.065,7.128,7.4,8.47,4.3,0.193,0.028,0.022,2.17,0.039,0.747,1.2,2.96,,4.265
2014/7/23,YHZ,0.5,17.64805,75.835,7.2095,,,,,,,,,,,,,1.8
2014/8/5,YHZ,0.5,15.34775,87.025,8.6875,7.3,8.4,1.1,0.063,0.04,0.023,,0.035,4.68,0.38,4.2,,53.715
2014/8/19,YHZ,0.5,12.93575,85.99,9.0505,7.6,7.71,0.7,0.046,0.026,0.01,,0.012,2.86,0.86,3.72,,1.6
2014/9/2,YHZ,0.5,13.10765,84.73,8.8835,,,,,,,,,,,,,3.215
2014/9/16,YHZ,0.5,13.2942,83.615,8.7315,7.6,6.89,1,0.05,0.029,0.013,4.77,0.01,3.66,0.55,3.86,,1.715
2014/9/29,YHZ,0.5,10.78905,82.125,9.079,7.5,5.79,0.9,0.039,0.012,0.009,,0.038,3.38,0.5,3.66,,1.3
2014/10/13,YHZ,0.5,11.81025,79.12,8.5445,7.5,7.37,1.1,0.047,0.012,0.003,,0.041,2.18,0.17,3.6,,1.4
2014/10/28,YHZ,0.5,7.9531,85.32,10.0935,,,,,,,,,,,,,1.055
2014/11/11,YHZ,0.5,6.0512,80.31,9.96,7.6,5.17,1.1,0.047,0.024,0.013,4.14,0.054,2.88,0.3,4.44,,0.81
2014/11/24,YHZ,0.5,6.30115,85.105,10.49,7.4,5.31,1.4,0.041,0.013,0.011,,0.048,2.14,0.24,4.67,,0.825
2014/12/15,YHZ,0.5,2.1992,85.23,11.6945,7.4,4.62,1.3,0.039,0.009,0.007,,0.054,3.11,0.35,4.43,,0.915
2015/1/1,YHZ,0.5,,,,7.6,2.81,0.5,0.019,0.011,0.013,,0.043,2.88,0.1,3.72,,
2015/1/7,YHZ,0.5,2.05355,85.19,11.736,7.3,3.51,0.7,0.019,0.008,0.004,,0.018,0.845,0.27,4.53,,0.3
2015/1/14,YHZ,0.5,3.4947,90.78,12.033,7.1,3.94,0.7,0.032,0.016,0.009,5.57,0.021,4.42,0.58,3.77,,0.495
2015/1/20,YHZ,0.5,1.98275,82.92,11.4445,7.1,3.1,0.5,0.022,0.008,0.008,,0.031,4.91,0.25,4.21,,0.325
2015/2/3,YHZ,0.5,0.7686,80.645,11.509,7.2,2.83,0.5,0.019,0.006,0.006,,0.036,3.41,0.33,4.24,,0.3
2015/2/17,YHZ,0.5,0.64115,75.945,10.876,7.3,2.82,0.6,0.018,0.008,0.006,,0.037,3.99,0.2,4.14,,0.345
2015/3/3,YHZ,0.5,1.6104,84.675,11.807,7.3,2.98,0.5,0.019,0.01,0.005,4.25,0.04,3.43,0.18,3.64,,0.585
2015/3/17,YHZ,0.5,,,,7.6,3.12,0.8,0.019,0.01,0.004,,0.05,3.39,0.32,3.46,,
2015/3/31,YHZ,0.5,,,,7.3,3.96,3.4,0.105,0.019,0.01,,0.027,2.68,0.46,2.8,,
2015/4/14,YHZ,0.5,6.18245,101.635,12.563,7.2,3.31,0.7,0.021,0.007,0.003,,0.032,3.5,0.26,2.47,,0.955
2015/4/27,YHZ,0.5,10.205,91.84,10.2925,7.3,4.92,1.3,0.042,0.009,0.003,,0.035,3.22,0.22,1.76,,4.99
2015/5/11,YHZ,0.5,10.2739,106.035,11.8655,7.4,4.52,0.9,0.039,0.013,0.005,2.23,0.042,1.49,0.2,1.62,,0.925
2015/5/26,YHZ,0.5,10.573,80.975,8.9955,7.5,6.81,2.2,0.096,0.02,0.011,,0.04,1.9,0.38,2.85,,2.055
2015/6/9,YHZ,0.5,12.35355,97.57,10.4025,,,,,,,,,,,,,1.235
2015/6/23,YHZ,0.5,11.64535,84.505,9.158,,,,,,,,,,,,,1.79
2015/7/7,YHZ,0.5,17.80245,83.7,7.932,,,,,,,,,,,,,1.905
2015/7/21,YHZ,0.5,19.2838,74.165,6.817,7.7,6.02,1,0.071,0.043,0.021,,0.065,0.833,0.18,3.7,,1.7
2015/8/3,YHZ,0.5,15.20705,77.705,7.7765,7.8,5.15,1.3,0.066,0.03,0.016,,0.011,0.613,0.32,2.4,,1.135
2015/8/18,YHZ,0.5,15.39275,88.635,8.838,7.5,8.68,2.3,0.133,0.056,0.035,,0.133,1.52,0.52,3.61,,2.35
2015/9/1,YHZ,0.5,16.2683,68.635,6.717,7.5,5.85,0.7,0.064,0.034,0.024,1.73,0.057,0.923,0.12,3.53,,1.91
2015/9/16,YHZ,0.5,10.5126,83.205,9.2545,7.6,5.26,0.6,0.053,0.031,0.02,,0.049,0.815,0.16,4.07,,1.34
2015/9/28,YHZ,0.5,,,,7.5,5.23,0.5,0.041,0.021,0.008,,0.031,0.705,0.2,3,,
2015/10/14,YHZ,0.5,3.1003,68.01,9.103,7.6,4.86,0.4,0.034,0.027,0.01,,0.028,0.524,0.12,3.78,,0.84
2015/10/26,YHZ,0.5,6.387,91.96,11.304,7.4,5.88,0.6,0.033,0.016,0.009,,0.066,1.84,0.21,3.34,,2.025
2015/11/10,YHZ,0.5,9.28115,76.5,8.7595,7.3,4.98,0.6,0.033,0.019,0.008,1.73,0.053,1.18,0.14,3.67,,1.875
2015/11/23,YHZ,0.5,3.74235,84.56,11.132,7.2,6.16,1,0.043,0.02,0.007,,0.04,3.39,0.39,4.12,,1.58
2015/12/8,YHZ,0.5,3.9986,86.01,11.2485,7.1,5.18,0.6,0.028,0.027,0.012,5.74,0.097,4.56,0.26,4.22,,0.5
2016/1/12,YHZ,0.5,2.0941,95.19,13.0985,7.3,4.92,1.5,0.05,0.019,0.009,3.42,0.026,2.62,0.23,4.2,,0.825
2016/1/26,YHZ,0.5,2.8979,80.01,10.773,7.2,4.26,0.7,0.021,0.01,0.006,5.16,0.028,4.06,0.13,3.97,,0.5
2016/2/9,YHZ,0.5,3.2007,86.09,11.5005,7.1,3.79,0.5,0.02,0.015,0.005,4.99,0.035,4.29,0.15,3.74,,0.495
2016/2/23,YHZ,0.5,3.6359,102.915,13.588,7.1,4.46,0.7,0.033,0.021,0.008,4.96,0.02,3.96,0.14,3.49,,0.685
2016/3/8,YHZ,0.5,1.6641,90.85,12.6475,7.9,3.64,0.5,0.019,0.008,0.003,4.29,0.036,3.73,0.21,3.5,,0.5
2016/3/21,YHZ,0.5,4.2888,88.735,11.5165,7.7,3.07,0.6,0.021,0.016,0.004,3.37,0.054,2.63,0.2,3.12,,1.025
2016/4/5,YHZ,0.5,,,,7.5,4.52,1,0.031,0.011,0.003,3.44,0.045,2.55,0.21,2.95,,
